Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (CAD),@ qty,Minimum Quantity,Packaging,Series,Part Status,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Operating Temperature,Features,Ratings,Applications,Failure Rate,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Thickness (Max),Lead Spacing,Lead Style
http://www.kemet.com/docfinder?Partnumber=C0603C334J4RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-7338-1-ND,C0603C334J4RACTU,KEMET,CAP CER 0.33UF 16V X7R 0603,58467,0,0.71,0,1,Cut Tape (CT),C,Active,0.33uF,5%,16V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C473J1RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9094-1-ND,C0603C473J1RACTU,KEMET,CAP CER 0.047UF 100V X7R 0603,11042,0,0.73,0,1,Cut Tape (CT),C,Active,0.047uF,5%,100V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C220G5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-7873-1-ND,C0603C220G5GACTU,KEMET,CAP CER 22PF 50V C0G/NP0 0603,15692,0,0.76,0,1,Cut Tape (CT),C,Active,22pF,2%,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C109B5GAC7867,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9961-1-ND,C0603C109B5GAC7867,KEMET,CAP CER 1PF 50V C0G/NP0 0603,13119,0,0.76,0,1,Cut Tape (CT),C,Active,1pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C471G5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-7920-1-ND,C0603C471G5GACTU,KEMET,CAP CER 470PF 50V C0G/NP0 0603,5163,0,1.06,0,1,Cut Tape (CT),C,Active,470pF,2%,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C180C5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9017-1-ND,C0603C180C5GACTU,KEMET,CAP CER 18PF 50V C0G/NP0 0603,10820,0,1.06,0,1,Cut Tape (CT),C,Active,18pF,0.25pF,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C820F5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-7959-1-ND,C0603C820F5GACTU,KEMET,CAP CER 82PF 50V C0G/NP0 0603,17728,0,1.23,0,1,Cut Tape (CT),C,Active,82pF,1%,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C220C5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-11144-1-ND,C0603C220C5GACTU,KEMET,CAP CER 22PF 50V C0G/NP0 0603,18926,0,1.23,0,1,Cut Tape (CT),C,Active,22pF,0.25pF,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0805C153J1RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-7916-1-ND,C0603C470F5GACTU,KEMET,CAP CER 47PF 50V C0G/NP0 0603,14917,0,1.23,0,1,Cut Tape (CT),C,Active,47pF,1%,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C153G3GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-9013-1-ND,C0603C153G3GACTU,KEMET,CAP CER 0.015UF 25V C0G/NP0 0603,9248,0,1.23,0,1,Cut Tape (CT),C,Active,0.015uF,2%,25V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
